Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Otwarcie_hg,Najwyzszy_hg,Najnizszy_hg,Zamkniecie_hg,Wolumen_hg,LOP,Otwarcie_btcusd_d,Najwyzszy_btcusd_d,Najnizszy_btcusd_d,Zamkniecie_btcusd_d,Otwarcie_swig80_d,Najwyzszy_swig80_d,Najnizszy_swig80_d,Zamkniecie_swig80_d,Wolumen_swig80_d,Otwarcie_ndq_d,Najwyzszy_ndq_d,Najnizszy_ndq_d,Zamkniecie_ndq_d,Wolumen_ndq_d,Otwarcie_gbpeur_d,Najwyzszy_gbpeur_d,Najnizszy_gbpeur_d,Zamkniecie_gbpeur_d,Otwarcie_jpypln_d,Najwyzszy_jpypln_d,Najnizszy_jpypln_d,Zamkniecie_jpypln_d,Otwarcie_usdpln_d,Najwyzszy_usdpln_d,Najnizszy_usdpln_d,Zamkniecie_usdpln_d,Otwarcie_chfpln_d,Najwyzszy_chfpln_d,Najnizszy_chfpln_d,Zamkniecie_chfpln_d,Otwarcie_wig_d,Najwyzszy_wig_d,Najnizszy_wig_d,Zamkniecie_wig_d,Wolumen_wig_d,Otwarcie_spx_d,Najwyzszy_spx_d,Najnizszy_spx_d,Zamkniecie_spx_d,Wolumen_spx_d,Otwarcie_mwig40_d,Najwyzszy_mwig40_d,Najnizszy_mwig40_d,Zamkniecie_mwig40_d,Wolumen_mwig40_d,Otwarcie_gbppln_d,Najwyzszy_gbppln_d,Najnizszy_gbppln_d,Zamkniecie_gbppln_d,Otwarcie_ftse250_d,Najwyzszy_ftse250_d,Najnizszy_ftse250_d,Zamkniecie_ftse250_d,Wolumen_ftse250_d,Otwarcie_eurpln_d,Najwyzszy_eurpln_d,Najnizszy_eurpln_d,Zamkniecie_eurpln_d,Otwarcie_dax_d,Najwyzszy_dax_d,Najnizszy_dax_d,Zamkniecie_dax_d,Wolumen_dax_d
2010-09-22,248.4,248.59,246.99,248.13,1861,347.68,357.23,347.5,356.58,36026.0,145642.0,0.06265,0.06265,0.06147,0.0622,12131.08,12134.93,12009.04,12049.06,7485753,2339.91,2355.91,2323.55,2334.55,2018295300,1.1777,1.1816,1.1658,1.1679,3.4889,3.5047,3.4683,3.4972,2.9618,2.97,2.9335,2.9517,2.9712,2.9972,2.9649,2.9893,44819.69,44884.38,44597.48,44810.97,78715228.0,1139.49,1144.38,1131.58,1134.28,2172816667,2614.86,2615.86,2595.38,2606.57,30859128,4.6401,4.6563,4.5993,4.6178,10544.9,10583.21,10421.77,10448.33,298324480.0,3.937,3.954,3.9286,3.9467,6286.33,6297.4,6192.43,6208.33,133906451.0
2010-09-23,249.35,250.48,244.54,246.4,4552,356.8,359.48,356.13,356.55,24791.0,145665.0,0.0622,0.063,0.0615,0.06231,12058.61,12083.46,11983.5,12018.3,7746807,2316.71,2353.79,2316.11,2327.08,1788492300,1.1681,1.1802,1.1674,1.1778,3.4836,3.5406,3.4803,3.5197,2.9449,2.9861,2.9412,2.9681,2.9827,3.0333,2.9811,3.0181,44837.11,44857.03,44225.12,44522.01,68449601.0,1131.1,1136.77,1122.79,1124.83,2137694444,2605.91,2613.81,2583.44,2595.01,19044723,4.6122,4.6828,4.6107,4.6654,10448.26,10502.19,10363.62,10426.02,363887840.0,3.9455,3.9816,3.9444,3.9643,6252.31,6263.74,6129.44,6184.71,117864906.0
2010-09-24,246.61,249.25,245.34,248.78,12244,356.28,363.23,356.18,362.2,26800.0,147213.0,0.06231,0.0624,0.06209,0.0622,12008.71,12115.34,11972.41,12115.34,9906496,2356.26,2381.22,2353.5,2381.22,1853843400,1.178,1.1789,1.17,1.1729,3.5037,3.5358,3.4755,3.4768,2.9744,2.9938,2.9288,2.9328,3.0206,3.0445,2.977,2.9776,44405.23,45133.77,44323.7,45133.77,72696838.0,1131.69,1148.9,1131.69,1148.67,2291083333,2592.14,2641.3,2589.75,2641.3,22961287,4.6606,4.6916,4.6349,4.639,10426.16,10544.84,10385.69,10539.0,299563840.0,3.9664,3.9847,3.9502,3.9504,6173.89,6310.28,6146.42,6298.3,114746448.0
2010-09-27,250.19,250.38,248.78,248.78,14712,362.93,363.95,358.03,358.35,24181.0,146701.0,0.062,0.06228,0.0619,0.0622,12134.13,12142.24,12054.95,12099.48,9174265,2379.73,2386.01,2368.65,2369.77,1742001600,1.1736,1.1777,1.1731,1.1761,3.4824,3.4991,3.4696,3.4829,2.9349,2.9462,2.922,2.9308,2.9804,2.9889,2.9714,2.9797,45227.75,45227.75,44976.67,45017.26,79547863.0,1148.64,1149.92,1142.0,1142.16,1993255556,2647.98,2649.82,2629.53,2629.53,31039323,4.6453,4.6564,4.6335,4.6417,10538.97,10613.28,10538.87,10562.65,301401280.0,3.9522,3.9613,3.9442,3.9504,6307.87,6324.09,6272.17,6278.89,86116569.0
2010-09-28,247.27,248.12,246.33,246.33,1416,358.4,363.5,356.55,363.1,29194.0,147602.0,0.0622,0.06271,0.0617,0.0619,12088.92,12090.59,11993.71,12024.93,7912359,2373.13,2383.67,2339.5,2379.59,1976928900,1.1763,1.1811,1.1622,1.1632,3.4883,3.5296,3.4856,3.4898,2.9379,2.9719,2.9189,2.9223,2.9863,3.0201,2.9847,2.9969,44808.7,44855.12,44572.78,44636.59,74016837.0,1142.31,1150.0,1132.09,1147.7,2236577778,2625.11,2631.82,2611.23,2628.99,26896671,4.6427,4.6954,4.6144,4.6173,10562.68,10572.28,10460.69,10552.41,316501696.0,3.9514,3.9793,3.951,3.9689,6258.2,6311.92,6197.96,6276.09,109270135.0
2010-09-29,247.74,249.25,247.27,247.37,1268,362.93,366.9,361.53,364.83,28633.0,147647.0,0.0619,0.062,0.0615,0.06191,12056.25,12077.49,11981.92,12077.49,12186949,2372.37,2382.15,2366.19,2376.56,1932474900,1.1634,1.1668,1.1567,1.1592,3.4883,3.4981,3.4748,3.4856,2.9195,2.9275,2.9042,2.9142,2.9948,3.0012,2.9747,2.9874,44880.83,44997.8,44653.88,44847.3,170804237.0,1146.75,1148.63,1140.26,1144.73,2216822222,2638.79,2643.05,2620.07,2643.05,94647710,4.6209,4.6268,4.5995,4.6038,10552.35,10598.28,10532.74,10562.53,263584992.0,3.964,3.9791,3.9585,3.973,6296.28,6326.34,6223.14,6246.92,120081770.0
2010-09-30,247.06,249.86,246.39,249.86,4034,364.48,366.45,361.65,365.5,34494.0,148532.0,0.06191,0.06191,0.06155,0.0619,12075.13,12103.19,12037.97,12103.19,15960734,2390.96,2400.06,2354.22,2368.62,2249019000,1.1593,1.1679,1.1511,1.1529,3.5185,3.528,3.4824,3.4915,2.9325,2.9394,2.9093,2.9136,2.9984,3.0063,2.9699,2.9707,44775.75,45236.72,44684.36,45236.72,131450154.0,1145.97,1157.16,1136.08,1141.2,2380088889,2644.39,2653.45,2635.05,2653.45,64985759,4.6481,4.6545,4.578,4.5811,10562.42,10628.65,10523.09,10531.8,357837152.0,3.9817,3.9918,3.9665,3.9679,6214.02,6339.36,6204.69,6229.02,137412331.0
2010-10-01,248.93,250.19,248.78,249.53,5486,365.3,371.68,365.18,369.28,27123.0,149076.0,0.0619,0.062,0.06189,0.06197,12104.62,12168.33,12070.46,12081.49,10712015,2386.82,2389.45,2359.32,2370.75,1797364500,1.1529,1.1547,1.1467,1.1471,3.4748,3.4812,3.4322,3.4335,2.9007,2.9061,2.859,2.863,2.9572,2.9641,2.9293,2.9314,45124.44,45322.5,45085.99,45225.58,94909530.0,1143.49,1150.3,1139.42,1146.24,2388283333,2656.74,2675.7,2655.47,2665.58,43044477,4.5608,4.5677,4.524,4.5293,10531.8,10644.81,10531.76,10592.47,327151136.0,3.9562,3.962,3.9332,3.9354,6244.06,6293.09,6187.22,6211.34,125509221.0
2010-10-04,252.55,252.55,247.84,251.07,15376,369.23,371.4,364.95,366.38,22738.0,149147.0,0.06111,0.062,0.06081,0.0613,12093.38,12106.11,12014.24,12064.78,8250821,2362.25,2370.87,2332.46,2344.52,1768841400,1.1463,1.1586,1.1457,1.1569,3.4309,3.4781,3.428,3.473,2.8601,2.8977,2.8554,2.8954,2.928,2.9804,2.9232,2.9797,45231.04,45542.07,45035.39,45542.07,69998026.0,1144.96,1148.16,1131.87,1137.03,2002283333,2672.09,2687.05,2668.1,2685.99,19675727,4.519,4.5908,4.5095,4.5864,10592.54,10610.15,10549.7,10563.81,311264384.0,3.9363,3.9655,3.9354,3.9641,6205.0,6210.25,6128.54,6134.21,90481312.0
2010-10-05,251.21,259.15,250.5,259.15,16060,365.78,374.05,364.08,372.5,33183.0,153457.0,0.0613,0.06301,0.0609,0.0614,12083.88,12108.76,12060.32,12086.04,12512262,2368.52,2402.42,2366.06,2399.83,2049227100,1.1571,1.1593,1.1473,1.1486,3.4488,3.4711,3.4274,3.4291,2.8903,2.9054,2.8521,2.8545,2.9757,2.9941,2.9503,2.9506,45365.4,45952.85,45319.9,45897.63,109426042.0,1140.68,1162.76,1140.68,1160.75,2260466667,2682.7,2688.99,2676.17,2684.72,45361193,4.5711,4.5936,4.5382,4.5389,10563.91,10689.09,10560.93,10681.96,338228288.0,3.9604,3.9807,3.9455,3.9476,6132.12,6233.45,6115.87,6215.83,106588168.0
